epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1922.48,1.24394,1.95479,1.20562,0.77912,0.79532,0.80696,0.49906,1.52278,1.43321,1.4635,0.00066242,0.00066242,0.00066242
2,4090.33,1.21361,0.76574,1.19065,0.8551,0.81988,0.86787,0.55212,1.32304,0.92885,1.31299,0.00106593,0.00106593,0.00106593
3,5969.84,1.21086,0.72401,1.18195,0.92015,0.83392,0.87708,0.57661,1.29803,1.05404,1.34138,0.00120544,0.00120544,0.00120544
4,7805.89,1.16047,0.63811,1.15479,0.98096,0.91287,0.95078,0.62842,1.27657,0.68581,1.29046,0.000812,0.000812,0.000812
5,9672.85,1.10898,0.5597,1.11737,0.98796,0.93392,0.97583,0.68841,1.1778,0.59382,1.20507,0.000416,0.000416,0.000416
